source_id,source_sha256,patched_sha256,patched_bytes,mapper,sram_bytes,bankswitch16_offset,bankswitch16_bytes,audio_stack_save_patch_offset,audio_stack_restore_patch_offset,header_checksum,global_checksum,boot_certified
jp-red-rev0,392ce450d708c8d127aaed7afc20001a48625bd83a5fa5325be82f5c0972ccfa,8c05d13ed7d1e3197139cf29fac9549830087d358acecd400bda872a39582da9,8388608,MBC5+RAM+BATTERY,131072,0x0000,38,0x0E7D,0x0E9F,0x15,0xB2BA,false
jp-red-reva,751abb1fb2b2d6b91dc631fa10ed36bd07f682cb5c3febe6c8f0e3dabc1fae1c,f3fa2a13ca63ba8aafc07b77586c3cb4223c0f15b72153a1436e08a316d2eff0,8388608,MBC5+RAM+BATTERY,131072,0x0000,38,0x0E6B,0x0E8D,0x14,0xC85F,false
