id,vblank_vector,vblank_entry,reti_offset,saved_low_wram,first_rom_bank_write,middle_rom_bank_write,restore_rom_bank_write,direct_rom_bank_write_count,high_bank_interrupt_safe_after_phase2
jp-red-rev0,0x0040,0x0AAC,0x0B30,0xD0E7,0x0AE0,0x0B01,0x0B29,3,true
jp-red-reva,0x0040,0x0AAC,0x0B30,0xD0E7,0x0AE0,0x0B01,0x0B29,3,true
en-red-int,0x0040,0x2024,0x20AE,0xD122,0x2058,0x2079,0x20A7,3,false
de-red,0x0040,0x2024,0x20AE,0xD127,0x2058,0x2079,0x20A7,3,false
fr-red,0x0040,0x2020,0x20AA,0xD127,0x2054,0x2075,0x20A3,3,false
it-red,0x0040,0x2024,0x20AE,0xD127,0x2058,0x2079,0x20A7,3,false
es-red,0x0040,0x2023,0x20AD,0xD127,0x2057,0x2078,0x20A6,3,false
