id,bankswitch_home_offset,bankswitch_back_offset,bankswitch_offset,h_loaded_rom_bank_low,w_bankswitch_home_saved,w_bankswitch_home_temp,audio_bank_save_offset,audio_bank_restore_offset
jp-red-rev0,0x3606,0x3617,0x3620,0xFFB8,0xCF03,0xCF04,0x0E7B,0x0E9F
jp-red-reva,0x35F4,0x3605,0x360E,0xFFB8,0xCF03,0xCF04,0x0E69,0x0E8D
en-red-int,0x35BC,0x35CD,0x35D6,0xFFB8,0xCF08,0xCF09,0x23E7,0x240B
de-red,0x35D6,0x35E7,0x35F0,0xFFB8,0xCF0D,0xCF0E,0x23E7,0x240B
fr-red,0x35D9,0x35EA,0x35F3,0xFFB8,0xCF0D,0xCF0E,0x23E3,0x2407
it-red,0x35D4,0x35E5,0x35EE,0xFFB8,0xCF0D,0xCF0E,0x23E7,0x240B
es-red,0x35DB,0x35EC,0x35F5,0xFFB8,0xCF0D,0xCF0E,0x23E6,0x240A
