id,source_rom_id,raw_size_bytes,cartridge_sram_bytes,extra_bytes,raw_sha1,raw_sha256,normalized_sram_sha1,normalized_sram_sha256,bank0_non_ff,bank1_non_ff,bank2_non_ff,bank3_non_ff,main_data_start,checksum_offset,checksum_valid,notes
jp-red-rev0-save,jp-red-rev0,32768,32768,0,9bcd779522491f7f116bb48f6dc6f4c8fef2bfb2,7dd2a72293c983325a59b301d1ff03e301210d2237594b7cd956519e32e47b1b,9bcd779522491f7f116bb48f6dc6f4c8fef2bfb2,7dd2a72293c983325a59b301d1ff03e301210d2237594b7cd956519e32e47b1b,1164,5217,0,0,0x2598,0x3594,true,Japanese sample has meaningful bytes before main_data_start in SRAM bank 1
jp-red-reva-save,jp-red-reva,32768,32768,0,a712085edcf44bc9a9224ef2e21603175016b90c,9d4793a674db5447f0af37029fc053ec70dbdbd544496f9c869387fb44cef9d5,a712085edcf44bc9a9224ef2e21603175016b90c,9d4793a674db5447f0af37029fc053ec70dbdbd544496f9c869387fb44cef9d5,1174,5217,0,0,0x2598,0x3594,true,Japanese Rev A sample uses the same observed checksum boundary as Rev 0
en-red-int-save,en-red-int,32812,32768,44,719f2f1d164b5e2bbf5d8aa791af6b1ebbd40632,230a1badae430112ed5661832decd2946224861ee89a13b3f5900ed55b357b5d,259c9611cbf8ad1f6cf7424a3af67456cd9e3267,b9a16ad68b3abe01bc85a3ad6353d15bef6e6f048d0e358ecb81bd252726eb1b,1173,3928,0,0,0x2598,0x3523,true,Trailing 44 bytes are outside cartridge SRAM and must be treated as emulator metadata
de-red-save,de-red,32768,32768,0,5877565a40b596561fb1d2ba8366450ac26c7859,eead52efe77f29a39250e381597747499e914c0fb16de05aa3b5871f32c69d22,5877565a40b596561fb1d2ba8366450ac26c7859,eead52efe77f29a39250e381597747499e914c0fb16de05aa3b5871f32c69d22,1173,3927,0,0,0x2598,0x3523,true,International-layout sample
fr-red-save,fr-red,32768,32768,0,b358db21556c3e33476d42c3a94bc3b61ac91566,b89a28b05f2613e45b5866a188f9117b00cd57abb0203cb6c2486508d9ac33bc,b358db21556c3e33476d42c3a94bc3b61ac91566,b89a28b05f2613e45b5866a188f9117b00cd57abb0203cb6c2486508d9ac33bc,1173,3928,0,0,0x2598,0x3523,true,International-layout sample
it-red-save,it-red,32768,32768,0,3d7057682dc4327cda91bff32f8d7afbe1d8fa6c,641802179e23d299c1bba3c27a4546294be6811241d5a81fa1cf728020bea301,3d7057682dc4327cda91bff32f8d7afbe1d8fa6c,641802179e23d299c1bba3c27a4546294be6811241d5a81fa1cf728020bea301,1173,3928,0,0,0x2598,0x3523,true,International-layout sample
es-red-save,es-red,32768,32768,0,824e72d10011bd0e808ce27cb940ed8d89f1722d,53f466cf209939b767f3c84c223c693508beb01d9bbba0f0caf2ca7ab713708d,824e72d10011bd0e808ce27cb940ed8d89f1722d,53f466cf209939b767f3c84c223c693508beb01d9bbba0f0caf2ca7ab713708d,1173,3928,0,0,0x2598,0x3523,true,International-layout sample
