source_id,source_sha256,target_mapper,target_rom_bytes,target_rom_banks_16k,target_sram_bytes,target_cartridge_type_code,target_rom_size_code,target_ram_size_code,target_header_checksum,expanded_sha256,header_checksum_ok,global_checksum_ok,boot_certified
jp-red-rev0,392ce450d708c8d127aaed7afc20001a48625bd83a5fa5325be82f5c0972ccfa,MBC5+RAM+BATTERY,8388608,512,131072,0x1B,0x08,0x04,0x15,4a4692fe03084017c6e7cff264e95900c8306ec8f45bfdf884e22002ffe93ed8,true,true,false
jp-red-reva,751abb1fb2b2d6b91dc631fa10ed36bd07f682cb5c3febe6c8f0e3dabc1fae1c,MBC5+RAM+BATTERY,8388608,512,131072,0x1B,0x08,0x04,0x14,81b3de1f2e82cbd69c169a273a4496de7f8d6630e2e504665396c6c73aa401d8,true,true,false
